node_id,latitude,longitude,station_name
113000053,37.54594101,126.9566906,신덕성결교회
113000056,37.547997,126.958985,한겨레신문사
102000133,37.55167,126.962825,만리동고개
102000134,37.55421533,126.966423,손기정체육공원
101000013,37.555855,126.969293,서울역서부
101000006,37.55547941,126.9728548,서울역버스환승센터
101000047,37.55849203,126.9784645,남대문시장.회현역
101000046,37.55826752,126.9777651,남대문시장.회현역
101000014,37.55838363,126.9691354,중림동교차로
101000011,37.555848,126.968902,서울의료보건고등학교.서울역서부
101000010,37.55444595,126.9662339,손기정체육공원입구
101000009,37.55178706,126.9626582,만리동고개
113000055,37.54814675,126.9588159,한겨레신문사
113000058,37.54307327,126.9531626,공덕오거리
123000169,37.505033,127.134153,신흥운수입구
123000173,37.50637915,127.1310587,오금공원사거리
123000174,37.507917,127.12799,오금동대림아파트
123000158,37.508848,127.126495,방이역
123000157,37.51336633,127.1292816,올림픽선수촌아파트
123000155,37.51632427,127.1314785,올림픽공원역
124000088,37.52247631,127.1320754,오륜교회앞
124000120,37.52495905,127.1294413,JYP엔터테인먼트.윤선생영어교실
124000173,37.52735145,127.1286297,한양수자인아파트
124000171,37.528822,127.125492,강동보건소앞
124000169,37.530205,127.12254,강동구청
123000376,37.52875878,127.1193611,풍납현대아파트
123900005,37.52662178,127.1180667,풍납동극동.쌍용아파트
123000033,37.52674423,127.1154307,올림픽대교남단
104000072,37.54338872,127.0936876,올림픽대교북단사거리
104000062,37.54496382,127.0890507,래미안구의파크스위트
104000049,37.54524958,127.0839777,구의사거리.광진소방서앞
104000050,37.545612,127.079201,어린이회관
104000134,37.54662164,127.0736285,어린이대공원역.화양천주교회
104000135,37.543765,127.072222,한아름공원
104000136,37.540929,127.07095,건대입구역사거리.건대병원
104000125,37.53891929,127.0699258,건대로데오거리입구
104000121,37.536419,127.068967,대동아파트앞
104000108,37.53491182,127.0692877,신양초등학교앞
104000120,37.53431586,127.0713601,자양고교앞
104000117,37.533798,127.073412,자양우성아파트앞
104000097,37.53270034,127.0768713,자양미소약국.자양골목시장
104000098,37.53153084,127.0807387,국민은행자양지점앞
104000100,37.53197322,127.0846733,자양하늘채베르아파트앞
123000508,37.519993,127.09479,잠실대교전망쉼터
123000045,37.514064,127.103242,잠실역1번.11번출구
123000047,37.513997,127.107219,송파구청.방이맛골
123000108,37.51066766,127.1107862,방이동사거리
123000113,37.50842451,127.1151708,서울방이동고분군
123000136,37.509897,127.118117,방이시장입구
123000137,37.512017,127.11946,방이초등학교
123000132,37.514023,127.121407,올림픽공원남2문
123000138,37.51141,127.121497,신구블레스밸리앞
123000140,37.50918638,127.124238,방이동대림코오롱아파트
